service_id,date,exception_type
0000000022017091120180607,20171101,2
0000000022017091120180607,20171208,2
0000000022017091120180607,20171225,2
0000000022017091120180607,20171226,2
0000000022017091120180607,20180101,2
0000000022017091120180607,20180106,2
0000000022017091120180607,20180402,2
0000000022017091120180607,20180425,2
0000000022017091120180607,20180501,2
0000000022017091120180607,20180602,2
0000000032017091120180607,20171027,1
0000000032017091120180607,20171028,1
0000000032017091120180607,20171030,1
0000000032017091120180607,20171031,1
0000000032017091120180607,20171101,2
0000000032017091120180607,20171102,2
0000000032017091120180607,20171103,1
0000000032017091120180607,20171104,1
0000000032017091120180607,20171106,1
0000000032017091120180607,20171107,1
0000000032017091120180607,20171108,1
0000000032017091120180607,20171109,1
0000000032017091120180607,20171110,1
0000000032017091120180607,20171111,1
0000000032017091120180607,20171113,1
0000000032017091120180607,20171114,1
0000000032017091120180607,20171115,1
0000000032017091120180607,20171116,1
0000000032017091120180607,20171117,1
0000000032017091120180607,20171118,1
0000000032017091120180607,20171120,1
0000000032017091120180607,20171121,1
0000000032017091120180607,20171122,1
0000000032017091120180607,20171123,1
0000000032017091120180607,20171124,1
0000000032017091120180607,20171125,1
0000000032017091120180607,20171127,1
0000000032017091120180607,20171128,1
0000000032017091120180607,20171129,1
0000000032017091120180607,20171130,1
0000000032017091120180607,20171201,1
0000000032017091120180607,20171202,1
0000000032017091120180607,20171204,1
0000000032017091120180607,20171205,1
0000000032017091120180607,20171206,1
0000000032017091120180607,20171207,1
0000000032017091120180607,20171208,2
0000000032017091120180607,20171209,2
0000000032017091120180607,20171211,1
0000000032017091120180607,20171212,1
0000000032017091120180607,20171213,1
0000000032017091120180607,20171214,1
0000000032017091120180607,20171215,1
0000000032017091120180607,20171216,1
0000000032017091120180607,20171218,1
0000000032017091120180607,20171219,1
0000000032017091120180607,20171220,1
0000000032017091120180607,20171221,1
0000000032017091120180607,20171222,1
0000000032017091120180607,20171223,1
0000000032017091120180607,20171225,2
0000000032017091120180607,20171226,2
0000000032017091120180607,20171227,2
0000000032017091120180607,20171228,2
0000000032017091120180607,20171229,2
0000000032017091120180607,20171230,2
0000000032017091120180607,20180101,2
0000000032017091120180607,20180102,2
0000000032017091120180607,20180103,2
0000000032017091120180607,20180104,2
0000000032017091120180607,20180105,2
0000000032017091120180607,20180106,2
0000000032017091120180607,20180108,1
0000000032017091120180607,20180109,1
0000000032017091120180607,20180110,1
0000000032017091120180607,20180111,1
0000000032017091120180607,20180112,1
0000000032017091120180607,20180113,1
0000000032017091120180607,20180115,1
0000000032017091120180607,20180116,1
0000000032017091120180607,20180117,1
0000000032017091120180607,20180118,1
0000000032017091120180607,20180119,1
0000000032017091120180607,20180120,1
0000000032017091120180607,20180122,1
0000000032017091120180607,20180123,1
0000000032017091120180607,20180124,1
0000000032017091120180607,20180125,1
0000000032017091120180607,20180126,1
0000000032017091120180607,20180127,1
0000000032017091120180607,20180129,1
0000000032017091120180607,20180130,1
0000000032017091120180607,20180131,1
0000000032017091120180607,20180201,1
0000000032017091120180607,20180202,1
0000000032017091120180607,20180203,1
0000000032017091120180607,20180205,1
0000000032017091120180607,20180206,1
0000000032017091120180607,20180207,1
0000000032017091120180607,20180208,1
0000000032017091120180607,20180209,1
0000000032017091120180607,20180210,1
0000000032017091120180607,20180212,2
0000000032017091120180607,20180213,2
0000000032017091120180607,20180214,1
0000000032017091120180607,20180215,1
0000000032017091120180607,20180216,1
0000000032017091120180607,20180217,1
0000000032017091120180607,20180219,1
0000000032017091120180607,20180220,1
0000000032017091120180607,20180221,1
0000000032017091120180607,20180222,1
0000000032017091120180607,20180223,1
0000000032017091120180607,20180224,1
0000000032017091120180607,20180226,1
0000000032017091120180607,20180227,1
0000000032017091120180607,20180228,1
0000000032017091120180607,20180301,1
0000000032017091120180607,20180302,1
0000000032017091120180607,20180303,1
0000000032017091120180607,20180305,1
0000000032017091120180607,20180306,1
0000000032017091120180607,20180307,1
0000000032017091120180607,20180308,1
0000000032017091120180607,20180309,1
0000000032017091120180607,20180310,1
0000000032017091120180607,20180312,1
0000000032017091120180607,20180313,1
0000000032017091120180607,20180314,1
0000000032017091120180607,20180315,1
0000000032017091120180607,20180316,1
0000000032017091120180607,20180317,1
0000000032017091120180607,20180319,1
0000000032017091120180607,20180320,1
0000000032017091120180607,20180321,1
0000000032017091120180607,20180322,1
0000000032017091120180607,20180323,1
0000000032017091120180607,20180324,1
0000000032017091120180607,20180326,1
0000000032017091120180607,20180327,1
0000000032017091120180607,20180328,1
0000000032017091120180607,20180329,2
0000000032017091120180607,20180330,2
0000000032017091120180607,20180331,2
0000000032017091120180607,20180402,2
0000000032017091120180607,20180403,1
0000000032017091120180607,20180404,1
0000000032017091120180607,20180405,1
0000000032017091120180607,20180406,1
0000000032017091120180607,20180407,1
0000000032017091120180607,20180409,1
0000000032017091120180607,20180410,1
0000000032017091120180607,20180411,1
0000000032017091120180607,20180412,1
0000000032017091120180607,20180413,1
0000000032017091120180607,20180414,1
0000000032017091120180607,20180416,1
0000000032017091120180607,20180417,1
0000000032017091120180607,20180418,1
0000000032017091120180607,20180419,1
0000000032017091120180607,20180420,1
0000000032017091120180607,20180421,1
0000000032017091120180607,20180423,1
0000000032017091120180607,20180424,1
0000000032017091120180607,20180425,2
0000000032017091120180607,20180426,1
0000000032017091120180607,20180427,1
0000000032017091120180607,20180428,1
0000000032017091120180607,20180430,2
0000000032017091120180607,20180501,2
0000000032017091120180607,20180502,1
0000000032017091120180607,20180503,1
0000000032017091120180607,20180504,1
0000000032017091120180607,20180505,1
0000000032017091120180607,20180507,1
0000000032017091120180607,20180508,1
0000000032017091120180607,20180509,1
0000000032017091120180607,20180510,1
0000000032017091120180607,20180511,1
0000000032017091120180607,20180512,1
0000000032017091120180607,20180514,1
0000000032017091120180607,20180515,1
0000000032017091120180607,20180516,1
0000000032017091120180607,20180517,1
0000000032017091120180607,20180518,1
0000000032017091120180607,20180519,1
0000000032017091120180607,20180521,1
0000000032017091120180607,20180522,1
0000000032017091120180607,20180523,1
0000000032017091120180607,20180524,1
0000000032017091120180607,20180525,1
0000000032017091120180607,20180526,1
0000000032017091120180607,20180528,1
0000000032017091120180607,20180529,1
0000000032017091120180607,20180530,1
0000000032017091120180607,20180531,1
0000000032017091120180607,20180601,1
0000000032017091120180607,20180602,2
0000000032017091120180607,20180604,1
0000000032017091120180607,20180605,1
0000000032017091120180607,20180606,1
0000000032017091120180607,20180607,1
0000000052017091120180607,20171101,1
0000000052017091120180607,20171208,1
0000000052017091120180607,20171225,1
0000000052017091120180607,20171226,1
0000000052017091120180607,20180101,1
0000000052017091120180607,20180106,1
0000000052017091120180607,20180402,1
0000000052017091120180607,20180425,1
0000000052017091120180607,20180501,1
0000000052017091120180607,20180602,1
0000000092017091120180607,20171101,2
0000000092017091120180607,20171208,2
0000000092017091120180607,20171225,2
0000000092017091120180607,20171226,2
0000000092017091120180607,20180101,2
0000000092017091120180607,20180106,2
0000000092017091120180607,20180402,2
0000000092017091120180607,20180425,2
0000000092017091120180607,20180501,2
0000000092017091120180607,20180602,2
0000000102017091120180607,20171101,2
0000000102017091120180607,20171102,2
0000000102017091120180607,20171208,2
0000000102017091120180607,20171209,2
0000000102017091120180607,20171225,2
0000000102017091120180607,20171226,2
0000000102017091120180607,20171227,2
0000000102017091120180607,20171228,2
0000000102017091120180607,20171229,2
0000000102017091120180607,20171230,2
0000000102017091120180607,20180101,2
0000000102017091120180607,20180102,2
0000000102017091120180607,20180103,2
0000000102017091120180607,20180104,2
0000000102017091120180607,20180105,2
0000000102017091120180607,20180106,2
0000000102017091120180607,20180212,2
0000000102017091120180607,20180213,2
0000000102017091120180607,20180329,2
0000000102017091120180607,20180330,2
0000000102017091120180607,20180331,2
0000000102017091120180607,20180402,2
0000000102017091120180607,20180425,2
0000000102017091120180607,20180430,2
0000000102017091120180607,20180501,2
0000000102017091120180607,20180602,2
0000000252017091120180607,20171101,2
0000000252017091120180607,20171208,2
0000000252017091120180607,20171225,2
0000000252017091120180607,20171226,2
0000000252017091120180607,20180101,2
0000000252017091120180607,20180106,2
0000000252017091120180607,20180402,2
0000000252017091120180607,20180425,2
0000000252017091120180607,20180501,2
0000000252017091120180607,20180602,2
0000000592017091120180607,20171101,2
0000000592017091120180607,20171208,2
0000000592017091120180607,20171225,2
0000000592017091120180607,20171226,2
0000000592017091120180607,20180101,2
0000000592017091120180607,20180106,2
0000000592017091120180607,20180402,2
0000000592017091120180607,20180425,2
0000000592017091120180607,20180501,2
0000000592017091120180607,20180602,2
0000000592017092520180607,20171101,2
0000000592017092520180607,20171208,2
0000000592017092520180607,20171225,2
0000000592017092520180607,20171226,2
0000000592017092520180607,20180101,2
0000000592017092520180607,20180106,2
0000000592017092520180607,20180402,2
0000000592017092520180607,20180425,2
0000000592017092520180607,20180501,2
0000000592017092520180607,20180602,2
0000000592017102520180607,20171101,2
0000000592017102520180607,20171208,2
0000000592017102520180607,20171225,2
0000000592017102520180607,20171226,2
0000000592017102520180607,20180101,2
0000000592017102520180607,20180106,2
0000000592017102520180607,20180402,2
0000000592017102520180607,20180425,2
0000000592017102520180607,20180501,2
0000000592017102520180607,20180602,2
0000000592017102520180609,20171101,2
0000000592017102520180609,20171208,2
0000000592017102520180609,20171225,2
0000000592017102520180609,20171226,2
0000000592017102520180609,20180101,2
0000000592017102520180609,20180106,2
0000000592017102520180609,20180402,2
0000000592017102520180609,20180425,2
0000000592017102520180609,20180501,2
0000000592017102520180609,20180602,2
0000000602017091120180607,20171027,1
0000000602017091120180607,20171028,1
0000000602017091120180607,20171030,1
0000000602017091120180607,20171031,1
0000000602017091120180607,20171101,2
0000000602017091120180607,20171102,2
0000000602017091120180607,20171103,1
0000000602017091120180607,20171104,1
0000000602017091120180607,20171106,1
0000000602017091120180607,20171107,1
0000000602017091120180607,20171108,1
0000000602017091120180607,20171109,1
0000000602017091120180607,20171110,1
0000000602017091120180607,20171111,1
0000000602017091120180607,20171113,1
0000000602017091120180607,20171114,1
0000000602017091120180607,20171115,1
0000000602017091120180607,20171116,1
0000000602017091120180607,20171117,1
0000000602017091120180607,20171118,1
0000000602017091120180607,20171120,1
0000000602017091120180607,20171121,1
0000000602017091120180607,20171122,1
0000000602017091120180607,20171123,1
0000000602017091120180607,20171124,1
0000000602017091120180607,20171125,1
0000000602017091120180607,20171127,1
0000000602017091120180607,20171128,1
0000000602017091120180607,20171129,1
0000000602017091120180607,20171130,1
0000000602017091120180607,20171201,1
0000000602017091120180607,20171202,1
0000000602017091120180607,20171204,1
0000000602017091120180607,20171205,1
0000000602017091120180607,20171206,1
0000000602017091120180607,20171207,1
0000000602017091120180607,20171208,2
0000000602017091120180607,20171209,2
0000000602017091120180607,20171211,1
0000000602017091120180607,20171212,1
0000000602017091120180607,20171213,1
0000000602017091120180607,20171214,1
0000000602017091120180607,20171215,1
0000000602017091120180607,20171216,1
0000000602017091120180607,20171218,1
0000000602017091120180607,20171219,1
0000000602017091120180607,20171220,1
0000000602017091120180607,20171221,1
0000000602017091120180607,20171222,1
0000000602017091120180607,20171223,1
0000000602017091120180607,20171225,2
0000000602017091120180607,20171226,2
0000000602017091120180607,20171227,2
0000000602017091120180607,20171228,2
0000000602017091120180607,20171229,2
0000000602017091120180607,20171230,2
0000000602017091120180607,20180101,2
0000000602017091120180607,20180102,2
0000000602017091120180607,20180103,2
0000000602017091120180607,20180104,2
0000000602017091120180607,20180105,2
0000000602017091120180607,20180106,2
0000000602017091120180607,20180108,1
0000000602017091120180607,20180109,1
0000000602017091120180607,20180110,1
0000000602017091120180607,20180111,1
0000000602017091120180607,20180112,1
0000000602017091120180607,20180113,1
0000000602017091120180607,20180115,1
0000000602017091120180607,20180116,1
0000000602017091120180607,20180117,1
0000000602017091120180607,20180118,1
0000000602017091120180607,20180119,1
0000000602017091120180607,20180120,1
0000000602017091120180607,20180122,1
0000000602017091120180607,20180123,1
0000000602017091120180607,20180124,1
0000000602017091120180607,20180125,1
0000000602017091120180607,20180126,1
0000000602017091120180607,20180127,1
0000000602017091120180607,20180129,1
0000000602017091120180607,20180130,1
0000000602017091120180607,20180131,1
0000000602017091120180607,20180201,1
0000000602017091120180607,20180202,1
0000000602017091120180607,20180203,1
0000000602017091120180607,20180205,1
0000000602017091120180607,20180206,1
0000000602017091120180607,20180207,1
0000000602017091120180607,20180208,1
0000000602017091120180607,20180209,1
0000000602017091120180607,20180210,1
0000000602017091120180607,20180212,2
0000000602017091120180607,20180213,2
0000000602017091120180607,20180214,1
0000000602017091120180607,20180215,1
0000000602017091120180607,20180216,1
0000000602017091120180607,20180217,1
0000000602017091120180607,20180219,1
0000000602017091120180607,20180220,1
0000000602017091120180607,20180221,1
0000000602017091120180607,20180222,1
0000000602017091120180607,20180223,1
0000000602017091120180607,20180224,1
0000000602017091120180607,20180226,1
0000000602017091120180607,20180227,1
0000000602017091120180607,20180228,1
0000000602017091120180607,20180301,1
0000000602017091120180607,20180302,1
0000000602017091120180607,20180303,1
0000000602017091120180607,20180305,1
0000000602017091120180607,20180306,1
0000000602017091120180607,20180307,1
0000000602017091120180607,20180308,1
0000000602017091120180607,20180309,1
0000000602017091120180607,20180310,1
0000000602017091120180607,20180312,1
0000000602017091120180607,20180313,1
0000000602017091120180607,20180314,1
0000000602017091120180607,20180315,1
0000000602017091120180607,20180316,1
0000000602017091120180607,20180317,1
0000000602017091120180607,20180319,1
0000000602017091120180607,20180320,1
0000000602017091120180607,20180321,1
0000000602017091120180607,20180322,1
0000000602017091120180607,20180323,1
0000000602017091120180607,20180324,1
0000000602017091120180607,20180326,1
0000000602017091120180607,20180327,1
0000000602017091120180607,20180328,1
0000000602017091120180607,20180329,2
0000000602017091120180607,20180330,2
0000000602017091120180607,20180331,2
0000000602017091120180607,20180402,2
0000000602017091120180607,20180403,1
0000000602017091120180607,20180404,1
0000000602017091120180607,20180405,1
0000000602017091120180607,20180406,1
0000000602017091120180607,20180407,1
0000000602017091120180607,20180409,1
0000000602017091120180607,20180410,1
0000000602017091120180607,20180411,1
0000000602017091120180607,20180412,1
0000000602017091120180607,20180413,1
0000000602017091120180607,20180414,1
0000000602017091120180607,20180416,1
0000000602017091120180607,20180417,1
0000000602017091120180607,20180418,1
0000000602017091120180607,20180419,1
0000000602017091120180607,20180420,1
0000000602017091120180607,20180421,1
0000000602017091120180607,20180423,1
0000000602017091120180607,20180424,1
0000000602017091120180607,20180425,2
0000000602017091120180607,20180426,1
0000000602017091120180607,20180427,1
0000000602017091120180607,20180428,1
0000000602017091120180607,20180430,2
0000000602017091120180607,20180501,2
0000000602017091120180607,20180502,1
0000000602017091120180607,20180503,1
0000000602017091120180607,20180504,1
0000000602017091120180607,20180505,1
0000000602017091120180607,20180507,1
0000000602017091120180607,20180508,1
0000000602017091120180607,20180509,1
0000000602017091120180607,20180510,1
0000000602017091120180607,20180511,1
0000000602017091120180607,20180512,1
0000000602017091120180607,20180514,1
0000000602017091120180607,20180515,1
0000000602017091120180607,20180516,1
0000000602017091120180607,20180517,1
0000000602017091120180607,20180518,1
0000000602017091120180607,20180519,1
0000000602017091120180607,20180521,1
0000000602017091120180607,20180522,1
0000000602017091120180607,20180523,1
0000000602017091120180607,20180524,1
0000000602017091120180607,20180525,1
0000000602017091120180607,20180526,1
0000000602017091120180607,20180528,1
0000000602017091120180607,20180529,1
0000000602017091120180607,20180530,1
0000000602017091120180607,20180531,1
0000000602017091120180607,20180601,1
0000000602017091120180607,20180602,2
0000000602017091120180607,20180604,1
0000000602017091120180607,20180605,1
0000000602017091120180607,20180606,1
0000000602017091120180607,20180607,1
0000000602017102520180607,20171027,1
0000000602017102520180607,20171028,1
0000000602017102520180607,20171030,1
0000000602017102520180607,20171031,1
